sentence1,sentence2,label
အခန်း (၁) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁) တွင် ပုဒ်မ ပေါင်း ၄၈ ခု (ပုဒ်မ ၁ မှ ၄၈ ထိ) ပါဝင်သည်။,1
အခန်း (၂) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၂) တွင် ပုဒ်မ ပေါင်း ၈ ခု (ပုဒ်မ ၄၉ မှ ၅၆ ထိ) ပါဝင်သည်။,1
အခန်း (၃) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၃) တွင် ပုဒ်မ ပေါင်း ၁၇ ခု (ပုဒ်မ ၅၇ မှ ၇၃ ထိ) ပါဝင်သည်။,1
အခန်း (၄) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၄) တွင် ပုဒ်မ ပေါင်း ၁၂၅ ခု (ပုဒ်မ ၇၄ မှ ၁၉၈ ထိ) ပါဝင်သည်။,1
အခန်း (၅) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၅) တွင် ပုဒ်မ ပေါင်း ၉၄ ခု (ပုဒ်မ ၁၉၉ မှ ၂၉၂ ထိ) ပါဝင်သည်။,1
အခန်း (၆) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၆) တွင် ပုဒ်မ ပေါင်း ၄၄ ခု (ပုဒ်မ ၂၉၃ မှ ၃၃၆ ထိ) ပါဝင်သည်။,1
အခန်း (၇) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၇) တွင် ပုဒ်မ ပေါင်း ၈ ခု (ပုဒ်မ ၃၃၇ မှ ၃၄၄ ထိ) ပါဝင်သည်။,1
အခန်း (၈) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၈) တွင် ပုဒ်မ ပေါင်း ၄၆ ခု (ပုဒ်မ ၃၄၅ မှ ၃၉၀ ထိ) ပါဝင်သည်။,1
အခန်း (၉) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၉) တွင် ပုဒ်မ ပေါင်း ၁၃ ခု (ပုဒ်မ ၃၉၁ မှ ၄၀၃ ထိ) ပါဝင်သည်။,1
အခန်း (၁၀) တွင် ပုဒ်မ ဘယ်နှစ်ခု ပါဝင်သနည်း။,အခန်း (၁၀) တွင် ပုဒ်မ ပေါင်း ၆ ခု (ပုဒ်မ ၄၀၄ မှ ၄၀၉ ထိ) ပါဝင်သည်။,1
